"Sequence" "DepthBaseMVP" "AdaptiveLuminanceCompensation" "VSP_Enable" "Texture_QPISlice" "Texture_QPPSlice" "FrameToBeEncoded" "Depth_QPISlice" "Depth_QPPSlice" "T1_Rate" "T5_Rate" "D1_Rate" "D5_Rate" "Ratio" "T1_PSNR" "T5_PSNR" "AVE_PSNR" "SUM_Rate"
"124" "kendo" "Enable" "Enable" "Enable" 26 26 100 36 36 394.57 406.19 42.3 56.34 8.11800486618005 41.79515 41.3014 41.548275 899.4
"125" "kendo" "Enable" "Enable" "Enable" 26 26 100 37 37 394.74 407.38 37.66 48.59 9.29994202898551 41.80378 41.29208 41.54793 888.37
"126" "kendo" "Enable" "Enable" "Enable" 26 26 100 38 38 395.54 406.8 33.15 42.34 10.6284276063055 41.80492 41.2965 41.55071 877.83
"127" "kendo" "Enable" "Enable" "Enable" 28 28 100 28 28 295.43 300.06 119.44 161.91 2.11654522836325 40.85986 40.36729 40.613575 876.84
"128" "kendo" "Enable" "Enable" "Enable" 28 28 100 29 29 289.26 292.65 106 143.18 2.33529978328919 40.80455 40.31654 40.560545 831.09
"129" "kendo" "Enable" "Enable" "Enable" 28 28 100 30 30 288.51 292.76 91.85 124.81 2.68286716514354 40.80614 40.31988 40.56301 797.93
"130" "kendo" "Enable" "Enable" "Enable" 28 28 100 31 31 288.09 292.74 81.22 110.63 3.02752150117279 40.81369 40.31459 40.56414 772.68
"131" "kendo" "Enable" "Enable" "Enable" 28 28 100 32 32 289.24 293.31 70.07 94.6 3.53768142345297 40.79862 40.31026 40.55444 747.22
"132" "kendo" "Enable" "Enable" "Enable" 28 28 100 33 33 287.72 293.18 62.86 84.31 3.9471359652103 40.79546 40.32347 40.559465 728.07
"133" "kendo" "Enable" "Enable" "Enable" 28 28 100 34 34 288.5 293.17 54.61 74.07 4.52028287224122 40.80649 40.32095 40.56372 710.35
"134" "kendo" "Enable" "Enable" "Enable" 28 28 100 35 35 289.44 293.82 48.02 64.34 5.19099323602706 40.79745 40.31167 40.55456 695.62
"135" "kendo" "Enable" "Enable" "Enable" 28 28 100 36 36 288.8 294.29 42.33 56.4 5.90590499341639 40.80553 40.29963 40.55258 681.82
"136" "kendo" "Enable" "Enable" "Enable" 28 28 100 37 37 289.4 294.52 37.83 48.65 6.75208140610546 40.78682 40.31934 40.55308 670.4
